,Order_Number,Order_Date,Customer_Names,Channel,Product_Name,Order_Quantity,Unit_Price,Line_Total,Total_Unit_Cost,State_Code,County,State,Region,Latitude,Longitude,2017_Budgets
23,SO - 0006313,2014-01-01,Sanum-Kehl Group,Export,Product 16,8,1822.4,14579.2,1530.816,CA,Orange County,California,West,33.60002,-117.672,
24,SO - 0010604,2014-01-01,Realbridge Corp,Wholesale,Product 19,11,5078.6,55864.600000000006,4113.666,AL,Lee County,Alabama,South,32.60986,-85.48078,
25,SO - 0008840,2014-01-01,Actavis Company,Distributor,Product 2,7,844.2,5909.400000000001,616.266,LA,Jefferson Parish,Louisiana,South,29.984090000000002,-90.15285,
26,SO - 0004336,2014-01-01,Mita Corp,Export,Product 14,9,268.0,2412.0,227.79999999999998,NC,Durham County/Orange County,North Carolina,South,35.92812,-79.03742,
27,SO - 0005121,2014-01-01,Twitterbri Ltd,Wholesale,Product 30,6,5681.6,34089.600000000006,4090.752,MA,Middlesex County,Massachusetts,Northeast,42.3751,-71.10561,
28,SO - 0010233,2014-01-01,Jayo Company,Distributor,Product 2,7,3899.4,27295.8,1598.754,PA,Lancaster County,Pennsylvania,Northeast,40.03788,-76.30551,
29,SO - 0002206,2014-01-01,General Company,Wholesale,Product 16,8,174.20000000000002,1393.6000000000001,109.74600000000001,CA,San Diego County,California,West,33.03699,-117.29198,
30,SO - 0002543,2014-01-01,Terumo Corp,Export,Product 14,9,3644.8,32803.200000000004,2587.808,CA,Los Angeles County,California,West,34.01945,-118.49119,
31,SO - 0002921,2014-01-01,Bluezoom Group,Wholesale,Product 26,10,5875.900000000001,58759.00000000001,4289.407,NH,Hillsborough County,New Hampshire,Northeast,42.99564,-71.45479,
32,SO - 0003715,2014-01-01,US Ltd,Wholesale,Product 26,10,1085.4,10854.0,857.4660000000001,IL,Winnebago County/Ogle County,Illinois,Midwest,42.25884,-89.06455,
33,SO - 0004471,2014-01-01,Accudial Company,Wholesale,Product 14,12,2237.8,26853.600000000002,939.8760000000001,GA,Richmond County,Georgia,South,33.36149,-82.075,
34,SO - 0004751,2014-01-01,Aveda Group,Distributor,Product 8,9,1172.5,10552.5,515.9,CA,Riverside County,California,West,33.78252,-117.22865,
35,SO - 0006833,2014-01-01,BB17 Company,Export,Product 4,7,2613.0,18291.0,2142.66,NJ,Morris County,New Jersey,Northeast,40.85964,-74.42335,
36,SO - 0008532,2014-01-01,Wordware Company,Wholesale,Product 5,11,938.0,10318.0,675.36,UT,Davis County,Utah,West,41.06022,-111.97105,
37,SO - 0010560,2014-01-01,Aromaticos Company,Export,Product 16,6,2994.9,17969.4,2455.8179999999998,KY,Jefferson County,Kentucky,South,38.25424,-85.75941,
38,SO - 0003527,2014-01-02,Amerisourc Corp,Wholesale,Product 18,11,1701.8,18719.8,1429.512,CA,Alameda County,California,West,37.54827,-121.98857,
39,SO - 0003901,2014-01-02,Yodoo Ltd,Wholesale,Product 25,5,1728.6000000000001,8643.0,1019.874,NY,Westchester County,New York,Northeast,40.91149,-73.78235,
40,SO - 0001098,2014-01-02,Golden Corp,Wholesale,Product 30,11,1675.0,18425.0,1155.75,IL,Sangamon County,Illinois,Midwest,39.79106,-89.64457,
41,SO - 0001725,2014-01-02,Mita Corp,Wholesale,Product 15,8,6525.8,52206.4,2806.094,IL,Cook County/Will County,Illinois,Midwest,41.56858,-87.80422,
42,SO - 0002795,2014-01-02,Buzzbean Group,Wholesale,Product 26,12,3872.6,46471.2,2517.19,IN,Vigo County,Indiana,Midwest,39.47555,-87.38835,
43,SO - 0003310,2014-01-02,General Company,Distributor,Product 26,10,1038.5,10385.0,529.635,CA,Alameda County,California,West,37.59583,-122.01917,
44,SO - 0004126,2014-01-02,ALK-Abello Ltd,Wholesale,Product 14,10,3041.8,30418.0,2038.0060000000003,FL,Pinellas County,Florida,South,27.8428,-82.69954,
45,SO - 0005940,2014-01-02,Vinte Group,Export,Product 13,6,5212.6,31275.600000000002,2814.8040000000005,CA,Santa Clara County,California,West,37.00578,-121.56828,
46,SO - 0006793,2014-01-02,The Ltd,Export,Product 14,10,3953.0,39530.0,3043.81,MI,Wayne County,Michigan,Midwest,42.33143,-83.04575,
47,SO - 0007868,2014-01-02,Wordpedia Ltd,Distributor,Product 3,9,850.9,7658.099999999999,433.959,CA,Placer County,California,West,38.75212,-121.28801,
48,SO - 0009934,2014-01-02,Cadila Ltd,Export,Product 3,11,2519.2000000000003,27711.200000000004,1058.064,TX,McLennan County,Texas,South,31.54933,-97.14667,
49,SO - 000791,2014-01-02,Jayo Company,Export,Product 17,5,3108.8,15544.0,1896.3680000000002,CA,Los Angeles County,California,West,33.99307,-117.96868,
50,SO - 0003756,2014-01-02,Bath Group,Export,Product 30,10,221.1,2211.0,128.238,IL,Cook County/Will County,Illinois,Midwest,41.60815,-87.85929,
51,SO - 0004390,2014-01-02,Trunyx Ltd,Export,Product 16,6,5929.5,35577.0,4209.945,CT,New Haven County,Connecticut,Northeast,41.5585,-73.03668,
52,SO - 0006241,2014-01-02,Roomm Company,Wholesale,Product 3,10,1065.3,10653.0,628.5269999999999,TX,Brazos County,Texas,South,30.62798,-96.33441,
53,SO - 0008226,2014-01-02,Tambee Company,Wholesale,Product 20,11,938.0,10318.0,684.74,NY,Suffolk County,New York,Northeast,40.88409,-73.37676,
54,SO - 0010346,2014-01-02,Voolia Ltd,Export,Product 4,5,5708.400000000001,28542.000000000004,2283.36,CT,New Haven County,Connecticut,Northeast,41.5585,-73.03668,
55,SO - 0004104,2014-01-02,Podcat Corp,Wholesale,Product 23,7,3839.1,26873.7,2457.024,ND,Grand Forks County,North Dakota,Midwest,47.92526,-97.03285,
56,SO - 0005545,2014-01-02,Dynazzy Company,Wholesale,Product 2,8,1098.8,8790.4,483.472,CT,Hartford County,Connecticut,Northeast,41.77524,-72.52443,
57,SO - 0005765,2014-01-02,Talane Group,Distributor,Product 13,7,5688.3,39818.1,2502.8520000000003,CA,Alameda County,California,West,37.54827,-121.98857,
58,SO - 0006767,2014-01-02,Oozz Group,Distributor,Product 16,10,1983.2,19832.0,1269.248,AZ,Maricopa County,Arizona,West,33.44838,-112.07404,
59,SO - 0006883,2014-01-02,SHISEIDO Ltd,Distributor,Product 7,12,1246.2,14954.400000000001,834.9540000000001,FL,Brevard County,Florida,South,28.03446,-80.58866,
60,SO - 0007017,2014-01-02,Zoomzone Corp,Distributor,Product 5,9,3825.7000000000003,34431.3,2486.7050000000004,OH,Lorain County,Ohio,Midwest,41.45282,-82.18237,
61,SO - 0007493,2014-01-02,Browsetype Corp,Wholesale,Product 18,8,2351.7000000000003,18813.600000000002,1293.4350000000002,FL,Broward County,Florida,South,26.12231,-80.14338,
62,SO - 0008686,2014-01-02,Vimbo Company,Export,Product 21,7,3189.2000000000003,22324.4,2647.036,CO,Weld County,Colorado,West,40.42331,-104.70913,
63,SO - 0008746,2014-01-02,Cantrell Company,Distributor,Product 16,10,2244.5,22445.0,920.2449999999999,IN,Elkhart County,Indiana,Midwest,41.65183,-85.94312,
64,SO - 0001523,2014-01-02,Accudial Company,Distributor,Product 25,5,6137.2,30686.0,4234.668,CT,Hartford County,Connecticut,Northeast,41.76371,-72.68509,
65,SO - 0002194,2014-01-02,Quaxo Ltd,Wholesale,Product 20,7,2680.0,18760.0,1098.8,FL,Hernando County,Florida,South,28.47689,-82.52546,
66,SO - 0002824,2014-01-02,Zooxo Ltd,Wholesale,Product 15,8,1092.1000000000001,8736.800000000001,589.7340000000002,CA,Sacramento County,California,West,38.60336,-121.38005,
67,SO - 0002859,2014-01-02,Realcube Company,Distributor,Product 8,11,1688.4,18572.4,776.6640000000001,IN,Vanderburgh County,Indiana,Midwest,37.97476,-87.55585,
68,SO - 0003113,2014-01-02,Feednation Corp,Wholesale,Product 25,8,1802.3,14418.4,1297.656,CA,Stanislaus County,California,West,37.49466,-120.84659,
69,SO - 0004190,2014-01-02,Mydo Corp,Wholesale,Product 13,10,3946.3,39463.0,2249.391,TX,Harris County,Texas,South,29.99883,-95.1766,
70,SO - 0004531,2014-01-02,Neutrogena Ltd,Distributor,Product 12,6,3932.9,23597.4,2084.4370000000004,MI,Wayne County,Michigan,Midwest,42.33698,-83.27326,
71,SO - 0004734,2014-01-02,Mylan Corp,Distributor,Product 11,9,1105.5,9949.5,486.42,NY,New York County,New York,Northeast,40.72833,-73.99417,
72,SO - 0005505,2014-01-02,Realpoint Corp,Wholesale,Product 21,6,1802.3,10813.8,1315.6789999999999,TX,Wichita County,Texas,South,33.91371,-98.49339,
73,SO - 0006105,2014-01-02,Neutrogena Ltd,Export,Product 14,11,1896.1000000000001,20857.100000000002,777.401,FL,Broward County,Florida,South,26.12759,-80.2331,
74,SO - 0007660,2014-01-02,Safecor Corp,Wholesale,Product 27,5,2921.2000000000003,14606.000000000002,2103.264,MA,Norfolk County,Massachusetts,Northeast,42.33176,-71.12116,
75,SO - 0009316,2014-01-02,Meejo Corp,Wholesale,Product 11,11,2867.6,31543.6,1319.096,CA,Los Angeles County,California,West,34.06862,-118.02757,
76,SO - 0009694,2014-01-02,Fivechat Company,Wholesale,Product 14,10,911.2,9112.0,637.84,MO,Jackson County,Missouri,Midwest,39.01695,-94.28161,
77,SO - 0008905,2014-01-02,Pacific Ltd,Wholesale,Product 2,7,1092.1000000000001,7644.700000000001,589.7340000000002,IL,Cook County,Illinois,Midwest,42.03336,-87.8834,
78,SO - 0010547,2014-01-02,NCS Group,Wholesale,Product 27,7,207.70000000000002,1453.9,176.54500000000002,WA,King County/Pierce County,Washington,West,47.30377,-122.21,
79,SO - 0001033,2014-01-02,Vimbo Company,Wholesale,Product 25,9,2552.7000000000003,22974.300000000003,2093.214,CA,Los Angeles County,California,West,33.85363,-118.13396,
80,SO - 0007387,2014-01-02,Brainspher Ltd,Wholesale,Product 26,8,938.0,7504.0,731.64,TX,Bell County,Texas,South,31.09823,-97.34278,
81,SO - 0009903,2014-01-02,Voonyx Group,Wholesale,Product 11,11,3973.1,43704.1,3337.404,MN,Anoka County,Minnesota,Midwest,45.11997,-93.28773,
82,SO - 0002911,2014-01-03,Mycone Ltd,Wholesale,Product 15,6,911.2,5467.200000000001,665.176,FL,Miami-Dade County,Florida,South,25.67149,-80.4445,
83,SO - 0003775,2014-01-03,Kazu Corp,Distributor,Product 18,12,891.1,10693.2,516.838,CA,Los Angeles County,California,West,34.14778,-118.14452,
84,SO - 0004386,2014-01-03,Camido Company,Distributor,Product 19,9,1045.2,9406.800000000001,418.08000000000004,IN,Hamilton County,Indiana,Midwest,39.96548,-86.14837,
85,SO - 0004792,2014-01-03,Skinder Group,Wholesale,Product 1,6,167.5,1005.0,83.75,CA,Los Angeles County,California,West,33.97918,-118.03284,
86,SO - 0005414,2014-01-03,Eayo Company,Wholesale,Product 25,7,1835.8,12850.6,1413.566,WI,Winnebago County,Wisconsin,Midwest,44.02471,-88.54261,
87,SO - 0005609,2014-01-03,Ozu Ltd,Distributor,Product 10,7,3966.4,27764.8,1903.872,CA,Los Angeles County,California,West,34.00944,-118.10528,
88,SO - 0006308,2014-01-03,US Ltd,Wholesale,Product 28,8,214.4,1715.2,124.35199999999999,AZ,Maricopa County,Arizona,West,33.42227,-111.82264,
89,SO - 0006534,2014-01-03,Snaptags Ltd,Distributor,Product 15,9,5152.3,46370.700000000004,3709.656,FL,Miami-Dade County,Florida,South,25.75871,-80.39839,
90,SO - 0007139,2014-01-03,Quaxo Ltd,Wholesale,Product 2,6,2418.7000000000003,14512.2,1910.7730000000004,MA,Middlesex County,Massachusetts,Northeast,42.30791,-71.4362,
91,SO - 0001045,2014-01-03,Lazzy Group,Export,Product 30,12,1125.6000000000001,13507.2,529.032,TX,Bell County,Texas,South,31.09823,-97.34278,
92,SO - 0002195,2014-01-03,Mycone Ltd,Wholesale,Product 15,7,1675.0,11725.0,686.75,LA,Orleans Parish,Louisiana,South,29.95465,-90.07507,
93,SO - 0002314,2014-01-03,Voolia Ltd,Wholesale,Product 14,5,6304.7,31523.5,2774.0679999999998,IL,Cook County,Illinois,Midwest,41.84454,-87.75929,
94,SO - 0004070,2014-01-03,Kazu Corp,Distributor,Product 19,6,2646.5,15879.0,1243.855,SD,Minnehaha County/Lincoln County,South Dakota,Midwest,43.53834,-96.732,
95,SO - 0006097,2014-01-03,Zoomdog Corp,Wholesale,Product 25,8,2010.0,16080.0,1386.8999999999999,PA,Erie County,Pennsylvania,Northeast,42.12922,-80.08506,
96,SO - 0010022,2014-01-03,Aibox Company,Wholesale,Product 2,5,247.9,1239.5,185.925,ND,Cass County,North Dakota,Midwest,46.87719,-96.7898,
97,SO - 0010373,2014-01-03,Dynazzy Company,Wholesale,Product 25,10,3906.1,39061.0,2695.209,NM,Santa Fe County,New Mexico,West,35.68698,-105.9378,
98,SO - 0009496,2014-01-03,Roberts Company,Distributor,Product 25,6,5386.8,32320.800000000003,3070.4759999999997,WI,Milwaukee County,Wisconsin,Midwest,43.01668,-88.00703,
99,SO - 0010605,2014-01-03,SAFEWAY Ltd,Wholesale,Product 5,5,1065.3,5326.5,543.303,FL,Hernando County,Florida,South,28.47689,-82.52546,
100,SO - 000717,2014-01-03,Ozu Ltd,Wholesale,Product 22,5,2291.4,11457.0,1581.066,IN,Vanderburgh County,Indiana,Midwest,37.96821,-87.49674,
101,SO - 0002802,2014-01-03,BTA Corp,Distributor,Product 25,7,2559.4,17915.8,1612.422,IL,Will County,Illinois,Midwest,41.68366,-88.08834,
102,SO - 0003853,2014-01-03,Talane Group,Distributor,Product 3,9,1809.0,16281.0,1338.66,NJ,Ocean County,New Jersey,Northeast,40.0908,-74.36126,
103,SO - 0004109,2014-01-03,Browsebug Company,Wholesale,Product 13,9,1989.9,17909.100000000002,1591.92,CA,Santa Clara County,California,West,37.33939,-121.89496,
104,SO - 0004622,2014-01-03,Centizu Company,Wholesale,Product 3,11,2318.2000000000003,25500.200000000004,1947.2880000000002,IL,Kendall County/Will County,Illinois,Midwest,41.5177,-88.14885,
105,SO - 0004965,2014-01-03,True Ltd,Distributor,Product 4,7,3825.7000000000003,26779.9,1874.593,MA,Norfolk County,Massachusetts,Northeast,42.33176,-71.12116,
106,SO - 0005431,2014-01-03,Buzzshare Company,Wholesale,Product 20,5,5514.1,27570.5,2536.4860000000003,OR,Multnomah County,Oregon,West,45.49818,-122.43148,
107,SO - 0007483,2014-01-03,Fivebridge Ltd,Distributor,Product 25,9,944.7,8502.300000000001,566.82,MA,Plymouth County,Massachusetts,Northeast,42.08343,-71.01838,
108,SO - 0009671,2014-01-03,Natures Group,Distributor,Product 5,7,1105.5,7738.5,928.62,IL,Will County,Illinois,Midwest,41.59625,-88.08915,
109,SO - 000187,2014-01-03,Bath Group,Wholesale,Product 13,5,891.1,4455.5,632.681,IN,St. Joseph County,Indiana,Midwest,41.66997,-86.27628,
110,SO - 000198,2014-01-03,Roberts Company,Export,Product 30,11,2472.3,27195.300000000003,1433.934,CO,Broomfield County,Colorado,West,39.92054,-105.08665,
111,SO - 0003309,2014-01-03,Vimbo Company,Export,Product 19,7,2351.7000000000003,16461.9,1622.673,MN,Dakota County,Minnesota,Midwest,44.76774,-93.27772,
112,SO - 0003348,2014-01-03,Amerisourc Corp,Wholesale,Product 8,12,884.4,10612.8,477.576,IN,Johnson County,Indiana,Midwest,39.61366,-86.10665,
113,SO - 0003548,2014-01-03,H Ltd,Export,Product 26,7,1172.5,8207.5,644.875,NJ,Hudson County,New Jersey,Northeast,40.66871,-74.11431,
114,SO - 0004273,2014-01-03,Walgreen Corp,Wholesale,Product 13,8,3832.4,30659.2,3219.216,TX,Williamson County,Texas,South,30.63269,-97.67723,
115,SO - 0005395,2014-01-03,Skiptube Ltd,Distributor,Product 25,9,1011.7,9105.300000000001,536.201,IA,Story County,Iowa,Midwest,42.03471,-93.61994,
116,SO - 0010342,2014-01-03,Remedy Ltd,Wholesale,Product 5,9,1916.2,17245.8,1034.748,FL,Broward County,Florida,South,26.0112,-80.14949,
117,SO - 0008833,2014-01-03,Rhynoodle Ltd,Wholesale,Product 4,10,6371.7,63717.0,2803.548,FL,Broward County,Florida,South,26.31841,-80.09977,
118,SO - 0008201,2014-01-03,Oozz Group,Distributor,Product 26,8,3356.7000000000003,26853.600000000002,1879.7520000000004,CA,Riverside County,California,West,33.78252,-117.22865,
119,SO - 0008587,2014-01-03,Zoonoodle Ltd,Wholesale,Product 14,5,227.8,1139.0,186.796,KY,Jefferson County,Kentucky,South,38.25424,-85.75941,
120,SO - 0009558,2014-01-03,Vitz Company,Distributor,Product 22,10,1232.8,12328.0,862.9599999999999,CA,San Bernardino County,California,West,34.03363,-117.04309,
121,SO - 0001941,2014-01-03,Browsebug Company,Distributor,Product 5,12,1038.5,12462.0,581.5600000000001,MI,Calhoun County,Michigan,Midwest,42.32115,-85.17971,
122,SO - 0001966,2014-01-03,Tekfly Group,Wholesale,Product 3,10,1172.5,11725.0,973.175,GA,Fulton County/Cobb County,Georgia,South,34.03945,-84.35095,
123,SO - 0002436,2014-01-03,Flipstorm Group,Distributor,Product 27,11,3859.2000000000003,42451.200000000004,1736.64,TX,Rockwall County/Kaufman County/Collin County/Denton County/Dallas County,Texas,South,32.79333,-96.76651,
124,SO - 0003555,2014-01-03,Chatterbri Ltd,Distributor,Product 6,11,1829.1000000000001,20120.100000000002,859.677,IN,Delaware County,Indiana,Midwest,40.19153,-85.38601,
125,SO - 0004288,2014-01-03,Voolia Ltd,Export,Product 3,5,221.1,1105.5,152.559,CA,Santa Barbara County,California,West,34.95303,-120.43572,
126,SO - 0004460,2014-01-03,Vitz Company,Wholesale,Product 20,12,5688.3,68259.6,4152.459,NJ,Camden County,New Jersey,Northeast,39.90461,-74.997,
127,SO - 0004900,2014-01-03,Terumo Corp,Wholesale,Product 2,10,2405.3,24053.0,986.173,NY,Erie County,New York,Northeast,42.73911,-78.85713,
128,SO - 0005729,2014-01-03,Vimbo Company,Wholesale,Product 13,10,3825.7000000000003,38257.0,1836.336,MI,Kent County,Michigan,Midwest,42.91336,-85.70531,
129,SO - 0005909,2014-01-03,Eire Corp,Wholesale,Product 17,9,3859.2000000000003,34732.8,1813.824,OH,Hamilton County,Ohio,Midwest,39.25479,-84.62414,
130,SO - 0008255,2014-01-03,Twitterbri Ltd,Wholesale,Product 30,6,5681.6,34089.600000000006,4090.752,CA,Shasta County,California,West,40.58654,-122.39168,
131,SO - 000105,2014-01-03,Mita Corp,Wholesale,Product 13,6,1822.4,10934.400000000001,1476.1440000000002,OK,Rogers County/Wagoner County/Osage County/Tulsa County,Oklahoma,South,36.12795,-95.90232,
132,SO - 0003563,2014-01-03,Browsebug Company,Wholesale,Product 1,12,1165.8,13989.599999999999,827.718,CA,Los Angeles County,California,West,33.83585,-118.34063,
133,SO - 0004526,2014-01-03,SHISEIDO Ltd,Export,Product 5,5,3993.2000000000003,19966.0,2635.512,VA,Richmond city,Virginia,South,37.55376,-77.46026,
134,SO - 0010280,2014-01-03,Roomm Company,Export,Product 18,8,1058.6000000000001,8468.800000000001,529.3000000000001,CA,Los Angeles County,California,West,33.89585,-118.22007,
135,SO - 0010404,2014-01-03,State Ltd,Wholesale,Product 19,12,2472.3,29667.600000000002,1236.15,CA,San Diego County,California,West,32.64,-117.08417,
136,SO - 0009276,2014-01-03,SHISEIDO Ltd,Distributor,Product 3,7,1688.4,11818.800000000001,1215.648,OH,Stark County,Ohio,Midwest,40.8686,-81.36892,
137,SO - 000450,2014-01-04,Gigabox Group,Wholesale,Product 25,7,1078.7,7550.900000000001,906.1080000000001,IA,Black Hawk County,Iowa,Midwest,42.49276,-92.34296,
138,SO - 0001724,2014-01-04,Twitterbri Ltd,Wholesale,Product 25,11,1038.5,11423.5,633.485,IL,Lake County,Illinois,Midwest,42.37285,-87.94653,
139,SO - 0002078,2014-01-04,Wordtune Company,Wholesale,Product 29,5,3999.9,19999.5,3279.9179999999997,CA,San Joaquin County,California,West,38.1302,-121.27245,
140,SO - 0002795,2014-01-04,Buzzbean Group,Wholesale,Product 26,12,3872.6,46471.2,2517.19,CA,Los Angeles County,California,West,33.85363,-118.13396,
141,SO - 0004247,2014-01-04,Realpoint Corp,Export,Product 24,6,3879.3,23275.800000000003,2056.029,CA,Monterey County,California,West,36.67774,-121.6555,
142,SO - 0004592,2014-01-04,Viva Ltd,Wholesale,Product 12,12,5406.900000000001,64882.8,3676.6920000000005,CA,Los Angeles County,California,West,33.88168,-118.11701,
143,SO - 0005716,2014-01-04,Skidoo Company,Wholesale,Product 20,12,234.5,2814.0,189.94500000000002,NJ,Cumberland County,New Jersey,Northeast,39.48623,-75.02573,
144,SO - 0006790,2014-01-04,Aibox Company,Wholesale,Product 12,10,2532.6,25326.0,1696.842,LA,Bossier Parish,Louisiana,South,32.51599,-93.73212,
145,SO - 0006962,2014-01-04,Rhynoodle Ltd,Distributor,Product 4,9,2720.2000000000003,24481.800000000003,1251.2920000000001,MA,Middlesex County,Massachusetts,Northeast,42.3876,-71.0995,
146,SO - 0007587,2014-01-04,Quimm Company,Export,Product 13,10,2391.9,23919.0,1363.383,CA,Los Angeles County,California,West,34.06862,-117.93895,
147,SO - 0008464,2014-01-04,Fivechat Company,Distributor,Product 15,5,3852.5,19262.5,1695.1,IL,Will County,Illinois,Midwest,41.68178,-88.20282,
148,SO - 0008999,2014-01-04,Rhynoodle Ltd,Distributor,Product 15,8,5601.2,44809.6,2632.564,NY,Westchester County,New York,Northeast,41.02928,-73.84285,
149,SO - 0001629,2014-01-04,Epic Group,Distributor,Product 13,8,2787.2000000000003,22297.600000000002,1254.2400000000002,NY,Monroe County,New York,Northeast,43.2134,-77.57972,
150,SO - 0004196,2014-01-04,Voonyx Group,Distributor,Product 1,6,1011.7,6070.200000000001,829.5939999999999,IL,McLean County,Illinois,Midwest,40.47578,-88.96991,
151,SO - 0004344,2014-01-04,State Ltd,Distributor,Product 6,8,5447.1,43576.8,2723.55,TX,Martin County/Midland County,Texas,South,32.02464,-102.11347,
152,SO - 0004511,2014-01-04,Liberty Group,Distributor,Product 28,10,1239.5,12395.0,942.02,NY,Westchester County,New York,Northeast,41.02928,-73.84285,
153,SO - 0006153,2014-01-04,Realbuzz Ltd,Wholesale,Product 18,11,1078.7,11865.7,852.1730000000001,CA,Orange County,California,West,33.70918,-117.95367,
154,SO - 0006716,2014-01-04,Rooxo Company,Distributor,Product 26,8,207.70000000000002,1661.6000000000001,93.465,MO,Jackson County,Missouri,Midwest,39.01695,-94.28161,
155,SO - 0007510,2014-01-04,Rooxo Company,Wholesale,Product 5,9,3035.1,27315.899999999998,1335.444,NJ,Union County,New Jersey,Northeast,40.69527,-74.26908,
156,SO - 0010159,2014-01-04,BTA Corp,Export,Product 25,9,2485.7000000000003,22371.300000000003,1043.9940000000001,AR,Benton County,Arkansas,South,36.33202,-94.11854,
157,SO - 0010333,2014-01-04,Avamba Company,Export,Product 4,9,1005.0,9045.0,663.3000000000001,IL,DuPage County,Illinois,Midwest,41.85857,-88.08948,
158,SO - 0009096,2014-01-04,Browsetype Corp,Wholesale,Product 25,9,5594.5,50350.5,4083.985,IL,Sangamon County,Illinois,Midwest,39.79106,-89.64457,
159,SO - 000725,2014-01-04,Internatio Company,Wholesale,Product 26,9,2512.5,22612.5,1658.25,CT,Hartford County,Connecticut,Northeast,41.76204,-72.74204,
160,SO - 0002445,2014-01-04,Skyble Corp,Distributor,Product 13,11,1005.0,11055.0,814.0500000000001,WI,Outagamie County/Calumet County/Winnebago County,Wisconsin,Midwest,44.27795,-88.38826,
161,SO - 0002523,2014-01-04,Centizu Company,Export,Product 1,5,3999.9,19999.5,1639.9589999999998,OK,Comanche County,Oklahoma,South,34.60869,-98.39033,
